2026-03-21 18:50:53,316 | INFO | algorithm_v1.quantization.base | Loading model from /mnt/82_store/LLM-weights/Qwen2.5-7B-Instruct
2026-03-21 18:51:30,871 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 4, lr 0.00375125  time 0.311926s, mse: 0.00099376
2026-03-21 18:51:31,185 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 5, lr 0.00327427  time 0.314010s, mse: 0.00090973
2026-03-21 18:51:31,499 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 6, lr 0.00276356  time 0.313336s, mse: 0.00083290
2026-03-21 18:51:31,812 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 7, lr 0.00224144  time 0.312767s, mse: 0.00078228
2026-03-21 18:51:32,124 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 8, lr 0.00173073  time 0.312363s, mse: 0.00074382
2026-03-21 18:51:32,437 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 9, lr 0.00125375  time 0.312483s, mse: 0.00069500
2026-03-21 18:51:32,748 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 10, lr 0.00083135  time 0.311340s, mse: 0.00068081
2026-03-21 18:51:33,061 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 11, lr 0.00048198  time 0.312572s, mse: 0.00067521
2026-03-21 18:51:33,375 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 12, lr 0.00022092  time 0.313438s, mse: 0.00065293
2026-03-21 18:51:33,688 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 13, lr 0.00005958  time 0.313539s, mse: 0.00063651
2026-03-21 18:51:34,001 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 1 lwc lac iter 14, lr 0.00000500  time 0.312872s, mse: 0.00063431
2026-03-21 18:51:34,606 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:51:34,683 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 2 =========
2026-03-21 18:51:35,316 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 0, lr 0.00494542  time 0.332327s, mse: 0.00193685
2026-03-21 18:51:35,618 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 1, lr 0.00478408  time 0.301829s, mse: 0.00157239
2026-03-21 18:51:35,931 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 2, lr 0.00452302  time 0.312452s, mse: 0.00136712
2026-03-21 18:51:36,244 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 3, lr 0.00417365  time 0.312894s, mse: 0.00122187
2026-03-21 18:51:36,558 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 4, lr 0.00375125  time 0.313552s, mse: 0.00112953
2026-03-21 18:51:36,870 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 5, lr 0.00327427  time 0.312192s, mse: 0.00106595
2026-03-21 18:51:37,185 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 6, lr 0.00276356  time 0.314556s, mse: 0.00102455
2026-03-21 18:51:37,498 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 7, lr 0.00224144  time 0.313710s, mse: 0.00097275
2026-03-21 18:51:37,812 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 8, lr 0.00173073  time 0.313596s, mse: 0.00094599
2026-03-21 18:51:38,125 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 9, lr 0.00125375  time 0.313140s, mse: 0.00093115
2026-03-21 18:51:38,440 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 10, lr 0.00083135  time 0.314384s, mse: 0.00090587
2026-03-21 18:51:38,754 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 11, lr 0.00048198  time 0.313576s, mse: 0.00089047
2026-03-21 18:51:39,067 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 12, lr 0.00022092  time 0.313066s, mse: 0.00088110
2026-03-21 18:51:39,380 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 13, lr 0.00005958  time 0.313020s, mse: 0.00088043
2026-03-21 18:51:39,695 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 2 lwc lac iter 14, lr 0.00000500  time 0.314675s, mse: 0.00088513
2026-03-21 18:51:40,293 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:51:40,370 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 3 =========
2026-03-21 18:51:41,002 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 0, lr 0.00494542  time 0.335857s, mse: 0.00475291
2026-03-21 18:51:41,303 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 1, lr 0.00478408  time 0.301053s, mse: 0.00408407
2026-03-21 18:51:41,619 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 2, lr 0.00452302  time 0.315499s, mse: 0.00361732
2026-03-21 18:51:41,932 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 3, lr 0.00417365  time 0.313204s, mse: 0.00318445
2026-03-21 18:51:42,248 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 4, lr 0.00375125  time 0.315781s, mse: 0.00288373
2026-03-21 18:51:42,561 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 5, lr 0.00327427  time 0.313205s, mse: 0.00273317
2026-03-21 18:51:42,876 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 6, lr 0.00276356  time 0.314152s, mse: 0.00252295
2026-03-21 18:51:43,189 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 7, lr 0.00224144  time 0.313370s, mse: 0.00236342
2026-03-21 18:51:43,503 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 8, lr 0.00173073  time 0.314139s, mse: 0.00226124
2026-03-21 18:51:43,817 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 9, lr 0.00125375  time 0.313962s, mse: 0.00219005
2026-03-21 18:51:44,130 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 10, lr 0.00083135  time 0.312056s, mse: 0.00212559
2026-03-21 18:51:44,443 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 11, lr 0.00048198  time 0.313259s, mse: 0.00207585
2026-03-21 18:51:44,758 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 12, lr 0.00022092  time 0.315348s, mse: 0.00205168
2026-03-21 18:51:45,072 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 13, lr 0.00005958  time 0.313832s, mse: 0.00204660
2026-03-21 18:51:45,387 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 3 lwc lac iter 14, lr 0.00000500  time 0.314522s, mse: 0.00201728
2026-03-21 18:51:46,012 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:51:46,097 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 4 =========
2026-03-21 18:51:46,730 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 0, lr 0.00494542  time 0.337092s, mse: 0.01112295
2026-03-21 18:51:47,031 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 1, lr 0.00478408  time 0.300161s, mse: 0.00929651
2026-03-21 18:51:47,345 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 2, lr 0.00452302  time 0.314014s, mse: 0.00807295
2026-03-21 18:51:47,658 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 3, lr 0.00417365  time 0.312901s, mse: 0.00745359
2026-03-21 18:51:47,972 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 4, lr 0.00375125  time 0.313934s, mse: 0.00674569
2026-03-21 18:51:48,285 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 5, lr 0.00327427  time 0.312690s, mse: 0.00627471
2026-03-21 18:51:48,599 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 6, lr 0.00276356  time 0.314407s, mse: 0.00600310
2026-03-21 18:51:48,913 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 7, lr 0.00224144  time 0.313310s, mse: 0.00579191
2026-03-21 18:51:49,228 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 8, lr 0.00173073  time 0.315189s, mse: 0.00562724
2026-03-21 18:51:49,542 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 9, lr 0.00125375  time 0.314188s, mse: 0.00544982
2026-03-21 18:51:49,858 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 10, lr 0.00083135  time 0.315275s, mse: 0.00538854
2026-03-21 18:51:50,173 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 11, lr 0.00048198  time 0.314940s, mse: 0.00530134
2026-03-21 18:51:50,486 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 12, lr 0.00022092  time 0.313448s, mse: 0.00520685
2026-03-21 18:51:50,800 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 13, lr 0.00005958  time 0.313637s, mse: 0.00520967
2026-03-21 18:51:51,114 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 4 lwc lac iter 14, lr 0.00000500  time 0.313745s, mse: 0.00521160
2026-03-21 18:51:51,721 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:51:51,798 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 5 =========
2026-03-21 18:51:52,429 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 0, lr 0.00494542  time 0.334971s, mse: 0.01538954
2026-03-21 18:51:52,731 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 1, lr 0.00478408  time 0.302117s, mse: 0.01231725
2026-03-21 18:51:53,046 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 2, lr 0.00452302  time 0.314540s, mse: 0.01066942
2026-03-21 18:51:53,360 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 3, lr 0.00417365  time 0.313448s, mse: 0.00957989
2026-03-21 18:51:53,674 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 4, lr 0.00375125  time 0.314602s, mse: 0.00908816
2026-03-21 18:51:53,988 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 5, lr 0.00327427  time 0.313723s, mse: 0.00835277
2026-03-21 18:51:54,304 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 6, lr 0.00276356  time 0.315409s, mse: 0.00775394
2026-03-21 18:51:54,618 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 7, lr 0.00224144  time 0.314420s, mse: 0.00752790
2026-03-21 18:51:54,934 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 8, lr 0.00173073  time 0.315276s, mse: 0.00725492
2026-03-21 18:51:55,249 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 9, lr 0.00125375  time 0.315440s, mse: 0.00715230
2026-03-21 18:51:55,564 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 10, lr 0.00083135  time 0.314384s, mse: 0.00699713
2026-03-21 18:51:55,878 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 11, lr 0.00048198  time 0.314605s, mse: 0.00686482
2026-03-21 18:51:56,193 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 12, lr 0.00022092  time 0.314336s, mse: 0.00675932
2026-03-21 18:51:56,508 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 13, lr 0.00005958  time 0.314952s, mse: 0.00675177
2026-03-21 18:51:56,823 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 5 lwc lac iter 14, lr 0.00000500  time 0.314907s, mse: 0.00672318
2026-03-21 18:51:57,416 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:51:57,489 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 6 =========
2026-03-21 18:51:58,153 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 0, lr 0.00494542  time 0.340187s, mse: 0.02289450
2026-03-21 18:51:58,457 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 1, lr 0.00478408  time 0.303656s, mse: 0.01892702
2026-03-21 18:51:58,771 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 2, lr 0.00452302  time 0.313807s, mse: 0.01652017
2026-03-21 18:51:59,085 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 3, lr 0.00417365  time 0.314163s, mse: 0.01486693
2026-03-21 18:51:59,402 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 4, lr 0.00375125  time 0.315941s, mse: 0.01390984
2026-03-21 18:51:59,716 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 5, lr 0.00327427  time 0.314570s, mse: 0.01318210
2026-03-21 18:52:00,032 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 6, lr 0.00276356  time 0.315855s, mse: 0.01256410
2026-03-21 18:52:00,347 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 7, lr 0.00224144  time 0.314497s, mse: 0.01208483
2026-03-21 18:52:00,662 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 8, lr 0.00173073  time 0.314635s, mse: 0.01181049
2026-03-21 18:52:00,979 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 9, lr 0.00125375  time 0.317280s, mse: 0.01149724
2026-03-21 18:52:01,294 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 10, lr 0.00083135  time 0.315302s, mse: 0.01131254
2026-03-21 18:52:01,610 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 11, lr 0.00048198  time 0.315507s, mse: 0.01114191
2026-03-21 18:52:01,925 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 12, lr 0.00022092  time 0.314786s, mse: 0.01105667
2026-03-21 18:52:02,240 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 13, lr 0.00005958  time 0.314654s, mse: 0.01101642
2026-03-21 18:52:02,556 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 6 lwc lac iter 14, lr 0.00000500  time 0.316167s, mse: 0.01098091
2026-03-21 18:52:03,166 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:52:03,241 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 7 =========
2026-03-21 18:52:04,059 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 0, lr 0.00494542  time 0.371703s, mse: 0.02371233
2026-03-21 18:52:04,359 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 1, lr 0.00478408  time 0.299514s, mse: 0.02058795
2026-03-21 18:52:04,674 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 2, lr 0.00452302  time 0.315551s, mse: 0.01818995
2026-03-21 18:52:04,989 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 3, lr 0.00417365  time 0.314829s, mse: 0.01698824
2026-03-21 18:52:05,307 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 4, lr 0.00375125  time 0.317651s, mse: 0.01615166
2026-03-21 18:52:05,625 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 5, lr 0.00327427  time 0.317818s, mse: 0.01545862
2026-03-21 18:52:05,941 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 6, lr 0.00276356  time 0.315732s, mse: 0.01498737
2026-03-21 18:52:06,258 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 7, lr 0.00224144  time 0.316793s, mse: 0.01465873
2026-03-21 18:52:06,573 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 8, lr 0.00173073  time 0.315256s, mse: 0.01440107
2026-03-21 18:52:06,889 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 9, lr 0.00125375  time 0.315691s, mse: 0.01404695
2026-03-21 18:52:07,205 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 10, lr 0.00083135  time 0.316091s, mse: 0.01389588
2026-03-21 18:52:07,521 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 11, lr 0.00048198  time 0.315767s, mse: 0.01371385
2026-03-21 18:52:07,838 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 12, lr 0.00022092  time 0.316677s, mse: 0.01357511
2026-03-21 18:52:08,154 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 13, lr 0.00005958  time 0.315737s, mse: 0.01349176
2026-03-21 18:52:08,470 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 7 lwc lac iter 14, lr 0.00000500  time 0.315878s, mse: 0.01342787
2026-03-21 18:52:09,191 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:52:09,276 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 8 =========
2026-03-21 18:52:09,923 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 0, lr 0.00494542  time 0.339349s, mse: 0.02441250
2026-03-21 18:52:10,230 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 1, lr 0.00478408  time 0.306875s, mse: 0.02052821
2026-03-21 18:52:10,547 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 2, lr 0.00452302  time 0.317407s, mse: 0.01819799
2026-03-21 18:52:10,864 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 3, lr 0.00417365  time 0.316281s, mse: 0.01663096
2026-03-21 18:52:11,179 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 4, lr 0.00375125  time 0.315702s, mse: 0.01565880
2026-03-21 18:52:11,496 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 5, lr 0.00327427  time 0.316732s, mse: 0.01505999
2026-03-21 18:52:11,813 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 6, lr 0.00276356  time 0.316214s, mse: 0.01446590
2026-03-21 18:52:12,130 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 7, lr 0.00224144  time 0.317502s, mse: 0.01401017
2026-03-21 18:52:12,447 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 8, lr 0.00173073  time 0.316610s, mse: 0.01361845
2026-03-21 18:52:12,763 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 9, lr 0.00125375  time 0.315790s, mse: 0.01331739
2026-03-21 18:52:13,081 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 10, lr 0.00083135  time 0.317917s, mse: 0.01319203
2026-03-21 18:52:13,397 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 11, lr 0.00048198  time 0.315890s, mse: 0.01306411
2026-03-21 18:52:13,713 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 12, lr 0.00022092  time 0.315643s, mse: 0.01300170
2026-03-21 18:52:14,031 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 13, lr 0.00005958  time 0.318142s, mse: 0.01288285
2026-03-21 18:52:14,348 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 8 lwc lac iter 14, lr 0.00000500  time 0.317234s, mse: 0.01283442
2026-03-21 18:52:15,117 | INFO | algorithm_v1.quantization.qat.flatquant.method | saved paramaters at /mnt/42_store/lcw/data2/Huawei/algorithm-v1/results/quantization/Qwen2.5-7B-Instruct/flatquant/flatquant_w4a4_seq512/flat_parameters.pth
2026-03-21 18:52:15,196 | INFO | algorithm_v1.quantization.qat.flatquant.method | ========= Layer 9 =========
2026-03-21 18:52:15,860 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 9 lwc lac iter 0, lr 0.00494542  time 0.344877s, mse: 0.01839803
2026-03-21 18:52:16,164 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 9 lwc lac iter 1, lr 0.00478408  time 0.304381s, mse: 0.01574939
2026-03-21 18:52:16,482 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 9 lwc lac iter 2, lr 0.00452302  time 0.317213s, mse: 0.01405036
2026-03-21 18:52:16,801 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 9 lwc lac iter 3, lr 0.00417365  time 0.318968s, mse: 0.01309410
2026-03-21 18:52:17,118 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 9 lwc lac iter 4, lr 0.00375125  time 0.316783s, mse: 0.01239517
2026-03-21 18:52:17,434 | INFO | algorithm_v1.quantization.qat.flatquant.method | layer 9 lwc lac iter 5, lr 0.00327427  time 0.316309s, mse: 0.01193877
